"数据年月","商品编码","商品名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","35","福建省","25051556","个","58127279","千克","9,544,070,525",
"202402","85076000","锂离子蓄电池","35","福建省","20091962","个","45953390","千克","7,550,928,375",
"202403","85076000","锂离子蓄电池","35","福建省","21059922","个","50239615","千克","7,964,387,595",
"202404","85076000","锂离子蓄电池","35","福建省","19534949","个","61200603","千克","9,102,896,312",
"202405","85076000","锂离子蓄电池","35","福建省","21778157","个","60572807","千克","8,622,631,489",
"202406","85076000","锂离子蓄电池","35","福建省","21004584","个","62947010","千克","9,333,806,443",
"202407","85076000","锂离子蓄电池","35","福建省","22067261","个","66933806","千克","9,562,137,805",
"202408","85076000","锂离子蓄电池","35","福建省","23798120","个","81336077","千克","11,615,508,280",
"202409","85076000","锂离子蓄电池","35","福建省","19109696","个","81895330","千克","10,991,777,087",
"202410","85076000","锂离子蓄电池","35","福建省","20229879","个","89180649","千克","11,012,164,885",
"202411","85076000","锂离子蓄电池","35","福建省","17585379","个","102486382","千克","12,400,435,438",
"202412","85076000","锂离子蓄电池","35","福建省","20112666","个","102147354","千克","11,464,329,341",
