"数据年月","商品编码","商品名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","32","江苏省","66662865","个","29263096","千克","5,685,402,280",
"202402","85076000","锂离子蓄电池","32","江苏省","52235518","个","27069153","千克","4,941,480,547",
"202403","85076000","锂离子蓄电池","32","江苏省","59880509","个","30189432","千克","5,427,873,973",
"202404","85076000","锂离子蓄电池","32","江苏省","53019295","个","28404434","千克","4,765,962,757",
"202405","85076000","锂离子蓄电池","32","江苏省","67436883","个","31723106","千克","5,686,038,762",
"202406","85076000","锂离子蓄电池","32","江苏省","65364878","个","37097010","千克","5,940,521,224",
"202407","85076000","锂离子蓄电池","32","江苏省","58238031","个","35378334","千克","5,192,680,392",
"202408","85076000","锂离子蓄电池","32","江苏省","72116232","个","40731020","千克","6,208,077,662",
"202409","85076000","锂离子蓄电池","32","江苏省","61220935","个","42987583","千克","5,780,977,013",
"202410","85076000","锂离子蓄电池","32","江苏省","80005885","个","43293692","千克","6,177,830,252",
"202411","85076000","锂离子蓄电池","32","江苏省","83283239","个","38972501","千克","5,831,593,063",
"202412","85076000","锂离子蓄电池","32","江苏省","60583166","个","63587676","千克","8,046,126,291",
