"数据年月","商品编码","商品名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","33","浙江省","11406008","个","11877966","千克","1,969,964,743",
"202402","85076000","锂离子蓄电池","33","浙江省","8580983","个","7032623","千克","1,170,828,594",
"202403","85076000","锂离子蓄电池","33","浙江省","8464316","个","10356003","千克","1,585,919,539",
"202404","85076000","锂离子蓄电池","33","浙江省","9033556","个","10000732","千克","1,527,094,630",
"202405","85076000","锂离子蓄电池","33","浙江省","12755097","个","11424989","千克","1,621,855,926",
"202406","85076000","锂离子蓄电池","33","浙江省","13792786","个","12614470","千克","1,738,911,893",
"202407","85076000","锂离子蓄电池","33","浙江省","10783698","个","13252683","千克","1,923,836,211",
"202408","85076000","锂离子蓄电池","33","浙江省","12651439","个","15685231","千克","2,288,187,460",
"202409","85076000","锂离子蓄电池","33","浙江省","11313039","个","13362773","千克","1,968,959,673",
"202410","85076000","锂离子蓄电池","33","浙江省","11871244","个","13033078","千克","1,858,364,502",
"202411","85076000","锂离子蓄电池","33","浙江省","10576575","个","13673504","千克","1,840,787,444",
"202412","85076000","锂离子蓄电池","33","浙江省","10476361","个","10914229","千克","1,634,875,768",
