"数据年月","商品编码","商品名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","35","福建省","329965","个","70938","千克","12,747,268",
"202402","85076000","锂离子蓄电池","35","福建省","307922","个","13695","千克","5,722,077",
"202403","85076000","锂离子蓄电池","35","福建省","460444","个","22158","千克","10,569,517",
"202404","85076000","锂离子蓄电池","35","福建省","460462","个","113911","千克","27,080,842",
"202405","85076000","锂离子蓄电池","35","福建省","462378","个","99390","千克","20,890,013",
"202406","85076000","锂离子蓄电池","35","福建省","1045777","个","110815","千克","18,239,333",
"202407","85076000","锂离子蓄电池","35","福建省","711718","个","284338","千克","62,818,679",
"202408","85076000","锂离子蓄电池","35","福建省","501784","个","118880","千克","37,159,817",
"202409","85076000","锂离子蓄电池","35","福建省","152321","个","26956","千克","14,679,353",
"202410","85076000","锂离子蓄电池","35","福建省","161746","个","102357","千克","57,412,642",
"202411","85076000","锂离子蓄电池","35","福建省","898540","个","82207","千克","35,662,111",
"202412","85076000","锂离子蓄电池","35","福建省","340063","个","14655","千克","6,885,965",
