"数据年月","商品编码","商品名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","32","江苏省","41977794","个","2255582","千克","670,168,069",
"202402","85076000","锂离子蓄电池","32","江苏省","14112140","个","664883","千克","193,387,951",
"202403","85076000","锂离子蓄电池","32","江苏省","17011310","个","902359","千克","268,788,500",
"202404","85076000","锂离子蓄电池","32","江苏省","18500832","个","960075","千克","295,283,818",
"202405","85076000","锂离子蓄电池","32","江苏省","18115711","个","945199","千克","252,150,276",
"202406","85076000","锂离子蓄电池","32","江苏省","14250742","个","755306","千克","230,296,124",
"202407","85076000","锂离子蓄电池","32","江苏省","24454188","个","1245854","千克","383,564,786",
"202408","85076000","锂离子蓄电池","32","江苏省","13187840","个","743603","千克","245,411,258",
"202409","85076000","锂离子蓄电池","32","江苏省","14383300","个","806946","千克","270,252,140",
"202410","85076000","锂离子蓄电池","32","江苏省","27064335","个","1447082","千克","419,819,213",
"202411","85076000","锂离子蓄电池","32","江苏省","30349076","个","1495407","千克","451,142,009",
"202412","85076000","锂离子蓄电池","32","江苏省","22793456","个","1357324","千克","413,905,682",
