"数据年月","商品编码","商品名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","33","浙江省","93724","个","41462","千克","14,102,379",
"202402","85076000","锂离子蓄电池","33","浙江省","123639","个","56272","千克","16,549,642",
"202403","85076000","锂离子蓄电池","33","浙江省","87814","个","63785","千克","15,913,075",
"202404","85076000","锂离子蓄电池","33","浙江省","193888","个","98690","千克","29,766,885",
"202405","85076000","锂离子蓄电池","33","浙江省","147088","个","73135","千克","19,579,983",
"202406","85076000","锂离子蓄电池","33","浙江省","171026","个","79114","千克","21,624,391",
"202407","85076000","锂离子蓄电池","33","浙江省","206675","个","103279","千克","25,604,199",
"202408","85076000","锂离子蓄电池","33","浙江省","107068","个","65317","千克","16,020,970",
"202409","85076000","锂离子蓄电池","33","浙江省","49444","个","23426","千克","6,213,528",
"202410","85076000","锂离子蓄电池","33","浙江省","71330","个","33324","千克","11,922,630",
"202411","85076000","锂离子蓄电池","33","浙江省","159346","个","130617","千克","13,013,180",
"202412","85076000","锂离子蓄电池","33","浙江省","87374","个","28818","千克","7,423,081",
