"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","353308348","个","202884801","千克","35,574,241,636",
"202402","85076000","锂离子蓄电池","241672379","个","154575615","千克","26,372,704,409",
"202403","85076000","锂离子蓄电池","288226615","个","189974696","千克","31,767,217,968",
"202404","85076000","锂离子蓄电池","286786277","个","192982628","千克","30,556,948,607",
"202405","85076000","锂离子蓄电池","320474135","个","219058258","千克","32,919,169,701",
"202406","85076000","锂离子蓄电池","344111280","个","249952713","千克","36,328,355,750",
"202407","85076000","锂离子蓄电池","327733689","个","281209462","千克","38,102,630,453",
"202408","85076000","锂离子蓄电池","368599050","个","302582808","千克","41,340,896,036",
"202409","85076000","锂离子蓄电池","322272451","个","278728195","千克","37,780,136,245",
"202410","85076000","锂离子蓄电池","345651565","个","303388731","千克","39,507,339,670",
"202411","85076000","锂离子蓄电池","364410888","个","321999088","千克","41,232,387,234",
"202412","85076000","锂离子蓄电池","351165099","个","346023856","千克","43,445,582,610",
