"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85076000","锂离子蓄电池","86804449","个","5333166","千克","1,604,046,747",
"202402","85076000","锂离子蓄电池","42252135","个","3175270","千克","1,001,056,407",
"202403","85076000","锂离子蓄电池","62759974","个","4224390","千克","1,255,859,995",
"202404","85076000","锂离子蓄电池","54559116","个","4047657","千克","1,344,477,884",
"202405","85076000","锂离子蓄电池","50943179","个","4805709","千克","1,445,400,106",
"202406","85076000","锂离子蓄电池","65641241","个","4651248","千克","1,584,049,305",
"202407","85076000","锂离子蓄电池","83142038","个","5831151","千克","1,776,987,710",
"202408","85076000","锂离子蓄电池","59771647","个","3646892","千克","1,335,393,493",
"202409","85076000","锂离子蓄电池","71231351","个","4453866","千克","1,536,180,182",
"202410","85076000","锂离子蓄电池","78094363","个","4061633","千克","1,455,189,969",
"202411","85076000","锂离子蓄电池","90720387","个","5207206","千克","1,634,666,141",
"202412","85076000","锂离子蓄电池","65662605","个","4154058","千克","1,237,986,895",
