period,reporterDesc,flowDesc,partnerISO,partnerDesc,fobvalue
2023,Chile,Export,W00,World,1010433283
2023,Chile,Export,ARG,Argentina,4044531.2
2023,Chile,Export,BEL,Belgium,58483364.34
2023,Chile,Export,BOL,Bolivia (Plurinational State of),5636.228
2023,Chile,Export,BRA,Brazil,172341.85
2023,Chile,Export,CHN,China,29240651.72
2023,Chile,Export,COL,Colombia,853011.38
2023,Chile,Export,JPN,Japan,5412745.85
2023,Chile,Export,KOR,Rep. of Korea,853570421.3
2023,Chile,Export,MEX,Mexico,4136254.32
2023,Chile,Export,PER,Peru,2171403.211
2023,Chile,Export,POL,Poland,7201222.89
2023,Chile,Export,ZAF,South Africa,5260195.18
2023,Chile,Export,USA,USA,39881503.78
