DEPOSIT_NAME,CRITICAL_MINERAL,DEPOSIT_TYPE,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Coeur d'Alene district,Antimony,Simple Sb,47.53407,-116.2485,United States of America,Idaho
Krasna Gora,Antimony,Au-Sb,49.58199,14.33547,Czech Republic,
Hillgrove,Antimony,Au-Sb,-30.57138,151.90687,Australia,
Blue Spec,Antimony,Au-Sb,-21.82987,120.24929,Australia,
Becker Cochrane,Antimony,Simple Sb,60.18333,-135.21666,Canada,
La Cruz Mine Zone,Antimony,Disseminated Sb,18.25068,-99.66703,Mexico,
San Jose mines,Antimony,Simple Sb,23.55,-100.95,Mexico,
Brioude-Massiac,Antimony,Simple Sb,45.20611,3.1875,France,
La Lucette,Antimony,Au-Sb,48.4166,0.95,France,
Sentachan,Antimony,Au-Sb,66.46167,136.92511,Russia,
Lake George,Antimony,Disseminated Sb,45.86663,-67.03259,Canada,
Beaver Brook (Hunan),Antimony,Simple Sb,48.701412,-55.233885,Canada,
Olympiada,Antimony,Au-Sb,59.869881,92.918007,Russia,
Sarylakh,Antimony,Au-Sb,64.34892,142.5291,Russia,
Cutaway basin,Barite,Bedded-sedimentary,68.15,-157.454,United States of America,Alaska
Nevada,Barite,Bedded-sedimentary,40.58,-116.696,United States of America,Nevada
Flagstaff Mountain,Barite,Bedded-sedimentary,48.908,-117.868,United States of America,Washington
Ouachita Mountains,Barite,Bedded-sedimentary,34.471,-92.816,United States of America,Arkansas
Selwyn Basin,Barite,Bedded-sedimentary,63,-130,Canada,
Cuddapah,Barite,Bedded-sedimentary,14.02,79.32,India,
Jiangnan,Barite,Bedded-sedimentary,27.15,109.167,China,
Qinling,Barite,Bedded-sedimentary,30,110,China,
Sardinia,Barite,Bedded-sedimentary,40.229,9.03,Italy,Sardinia
Aggeneys-Gamsberg,Barite,Bedded-sedimentary,-29.25,18.79,South Africa,
Lasbela-Khuzdar,Barite,Bedded-sedimentary,27.059,66.665,Pakistan,
Chiganak,Barite,Bedded-sedimentary,44.284,72.946,Kazakhstan,
Neuquen-Mendoza,Barite,Bedded-sedimentary,-37,-70,Argentina,
La Helvecia,Barite,Bedded-sedimentary,-29.9,-66.999,Argentina,
Camamu,Barite,Bedded-sedimentary,-13.924,-39.008,Brazil,
Sonora,Barite,Bedded-sedimentary,28.833,-110.133,Mexico,
Northern Thailand,Barite,Bedded-sedimentary,18.605,99.009,Thailand,
Gertrudas-Jugua,Barite,Bedded-sedimentary,22.485,-83.779,Cuba,
Barite Hill,Barite,Bedded-volcanic,33.875,-82.28,United States of America,South Carolina
Zhayrem district,Barite,Bedded-volcanic,48.27,70.242,Kazakhstan,
Kuroko,Barite,Bedded-volcanic,41.738,140.976,Japan,
Madneuli,Barite,Bedded-volcanic,44.491667,41.361667,Russia,
Dorreh Kashan,Barite,Bedded-volcanic,32.842,51.767,Iran,
Jebel Irhoud,Barite,"Vein, cavity-fill, metasomatic",31.576,-9.022,Morocco,
Zelmou,Barite,"Vein, cavity-fill, metasomatic",32.2,-2.8,Morocco,
Flinders Range,Barite,"Vein, cavity-fill, metasomatic",-31.344,138.692,Australia,
Chaillac,Barite,"Vein, cavity-fill, metasomatic",46.435,1.297,France,
Nghe An,Barite,"Vein, cavity-fill, metasomatic",19.353,105.403,Vietnam,
Mau Xe,Barite,"Vein, cavity-fill, metasomatic",21.983,103.975,Vietnam,
Isparta,Barite,"Vein, cavity-fill, metasomatic",38.076,31.368,Turkey,
Southeast Missouri Barite district,Barite,Residual,38.01214275,-90.72418223,United States of America,Missouri
Cartersville,Barite,Residual,34.161,-84.798,United States of America,Georgia
Tuareg massif,Beryllium,Non-pegmatite,23.283333,5.516667,Algeria,
Sierras Pampeanas,Beryllium,Non-pegmatite,-32,-65,Argentina,
Greenbushes,Beryllium; Lithium; Niobium and Tantalum; Tin,Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal,-33.866733,116.062458,Australia,
